,Supervised,Active site HMM,PET HMM,Homologs HMM,Blosum
DP011,0.3732113316555037,101.7,318.4,216.3,-6166.0
DP019,0.3469454936916595,125.8,322.2,236.8,-6102.0
DP027,0.40372798845720925,120.0,352.6,232.1,-6106.0
DP035,0.1853342472701757,113.2,345.2,245.3,-6134.0
DP043,0.3938695974132782,71.5,306.9,231.7,-6132.0
DP051,0.40693841423428434,124.4,389.9,264.1,-6100.0
DP059,0.37873464446620947,84.0,310.5,218.9,-6149.0
DP067,0.3754337246333145,108.4,343.0,231.6,-6147.0
DP075,0.41887251900968797,85.2,306.5,214.7,-6161.0
DP083,0.34351451015104467,122.9,397.0,261.1,-6084.0
DP091,0.29304438445220055,98.6,318.1,229.1,-6141.0
DP012,0.4368678447855308,96.0,307.8,224.0,-6116.0
DP020,0.3199731854620984,92.4,314.6,217.4,-6167.0
DP028,0.4260342050092501,95.5,336.3,239.8,-6086.0
DP036,0.33947084142582434,120.0,359.3,251.8,-6133.0
DP044,0.267689946891893,97.9,354.4,236.9,-6137.0
DP052,0.40215057933461124,115.3,375.1,245.8,-6107.0
DP060,0.40023145425544826,112.7,325.6,225.7,-6157.0
DP068,0.35709043813261954,76.4,302.4,215.9,-6135.0
DP076,0.44334719828444896,128.3,386.4,259.9,-6095.0
DP084,0.3433319083605042,129.0,387.4,259.7,-6122.0
DP092,0.3924008299055386,65.7,293.4,213.3,-6186.0
DP013,0.3333006833826179,101.8,336.2,220.9,-6177.0
DP021,0.32807964459697214,74.4,304.9,229.4,-6141.0
DP029,0.38416354457011326,110.9,372.2,252.3,-6139.0
DP037,0.3539380384836132,98.2,330.6,246.5,-6123.0
DP045,0.25024148026380144,100.3,325.0,231.3,-6115.0
DP053,0.31917349424836605,127.4,379.4,263.1,-6101.0
DP061,0.4033459909566219,80.1,307.9,223.6,-6144.0
DP069,0.4056217410261247,129.2,386.9,257.1,-6091.0
DP077,0.4113383321974864,97.1,330.2,235.9,-6181.0
DP085,0.4788615921873047,117.0,356.0,245.8,-6140.0
DP093,0.32333855750516577,99.9,343.2,236.0,-6119.0
DP001,0.37517878473428,100.0,313.9,235.8,-6160.0
DP014,0.26471629760150633,99.3,335.0,226.2,-6172.0
DP022,0.37483374799728414,108.0,352.5,234.2,-6170.0
DP030,0.3453248021376385,117.1,340.2,227.2,-6175.0
DP038,0.3681811367855325,121.8,363.2,250.1,-6111.0
DP046,0.34766284598040864,109.0,359.1,237.4,-6133.0
DP054,0.286783570598977,93.7,337.2,227.9,-6141.0
DP062,0.4259039542697841,116.8,311.3,211.8,-6146.0
DP070,0.3595905499420575,117.9,382.6,248.8,-6143.0
